"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2024","EQ","113.51","118.89","113.08","113.45","116.01","115.78","114.77","140.00","83.01","2,944","3,37,874.94","84"
"21-Nov-2024","EQ","114.19","116.94","111.72","114.50","113.47","113.45","113.46","140.00","83.01","2,002","2,27,144.37","76"
"19-Nov-2024","EQ","115.35","115.40","113.01","113.54","113.01","114.50","114.89","140.00","83.01","1,230","1,41,310.86","63"
"18-Nov-2024","EQ","113.52","114.37","111.82","113.63","113.20","113.54","113.51","140.00","83.01","1,886","2,14,076.41","81"
"14-Nov-2024","EQ","114.38","115.80","112.09","112.99","115.80","113.63","114.10","140.00","83.01","1,734","1,97,843.76","43"
"13-Nov-2024","EQ","116.80","116.80","112.50","114.83","112.77","112.99","113.23","140.00","83.01","3,800","4,30,255.65","140"
"12-Nov-2024","EQ","116.18","117.92","114.48","116.18","114.48","114.83","115.48","140.00","83.01","3,638","4,20,107.01","120"
"11-Nov-2024","EQ","116.14","117.25","115.85","116.96","115.91","116.18","116.75","140.00","83.01","2,355","2,74,943.55","120"
"08-Nov-2024","EQ","117.04","117.15","116.10","117.04","116.81","116.96","116.53","140.00","83.01","2,651","3,08,931.83","77"
"07-Nov-2024","EQ","116.80","118.49","115.28","118.24","117.03","117.04","117.42","140.00","83.01","3,494","4,10,250.65","122"
"06-Nov-2024","EQ","118.01","118.46","116.60","116.72","118.43","118.24","117.68","140.00","83.01","6,099","7,17,728.63","98"
"05-Nov-2024","EQ","117.05","117.68","115.34","117.05","116.00","116.72","116.73","140.00","83.01","5,839","6,81,577.73","134"
"04-Nov-2024","EQ","118.21","123.58","115.76","121.25","117.50","117.05","116.97","140.00","83.01","23,092","27,01,036.18","332"
"01-Nov-2024","EQ","121.79","122.00","117.42","117.39","117.43","121.25","121.11","140.00","83.01","1,173","1,42,058.60","44"
"31-Oct-2024","EQ","117.01","120.00","117.00","118.27","120.00","117.39","117.46","140.00","83.01","1,968","2,31,168.75","81"
"30-Oct-2024","EQ","117.77","120.00","117.70","118.31","120.00","118.27","118.30","140.00","83.01","9,141","10,81,409.94","86"
"29-Oct-2024","EQ","116.16","118.90","116.16","118.62","118.90","118.31","117.42","140.00","83.01","3,352","3,93,593.37","130"
"28-Oct-2024","EQ","118.02","119.26","117.53","118.02","118.69","118.62","118.88","140.00","83.01","2,553","3,03,504.40","91"
"25-Oct-2024","EQ","119.48","119.48","117.06","119.00","118.00","118.02","117.76","140.00","83.01","3,501","4,12,293.51","146"
"24-Oct-2024","EQ","122.98","122.98","118.33","120.57","118.50","119.00","119.42","140.00","83.01","4,704","5,61,755.00","136"
"23-Oct-2024","EQ","123.31","123.31","118.86","120.92","120.00","120.57","120.63","140.00","83.01","2,083","2,51,278.62","84"
"22-Oct-2024","EQ","123.31","126.00","120.50","123.26","122.70","120.92","122.53","140.00","83.01","9,304","11,39,978.87","144"
"21-Oct-2024","EQ","123.08","127.36","121.14","123.01","127.36","123.26","122.57","140.00","83.01","8,663","10,61,858.25","168"
"18-Oct-2024","EQ","125.96","127.41","122.00","123.49","123.07","123.01","122.82","140.00","83.01","5,433","6,67,296.28","113"
"17-Oct-2024","EQ","127.80","127.80","123.20","126.46","124.00","123.49","124.19","140.00","83.01","9,587","11,90,640.40","244"
"16-Oct-2024","EQ","126.77","128.00","125.20","127.23","128.00","126.46","126.47","140.00","83.01","3,206","4,05,472.75","108"
